0, 0.237, 0.263, 0.263, 0.237
1, 0.23, 0.27, 0.26, 0.24
2, 0.225, 0.275, 0.259, 0.241
3, 0.219, 0.281, 0.255, 0.245
4, 0.212, 0.288, 0.248, 0.252
5, 0.209, 0.291, 0.241, 0.259
6, 0.204, 0.296, 0.234, 0.266
7, 0.199, 0.301, 0.23, 0.27
8, 0.195, 0.305, 0.227, 0.273
9, 0.189, 0.311, 0.221, 0.279
10, 0.184, 0.316, 0.217, 0.283
11, 0.18, 0.32, 0.215, 0.285
12, 0.176, 0.324, 0.212, 0.288
13, 0.173, 0.327, 0.208, 0.292
14, 0.169, 0.331, 0.205, 0.295
15, 0.162, 0.338, 0.202, 0.298
16, 0.157, 0.343, 0.2, 0.3
17, 0.152, 0.348, 0.196, 0.304
18, 0.149, 0.351, 0.189, 0.311
19, 0.146, 0.354, 0.187, 0.313
20, 0.141, 0.359, 0.182, 0.318
21, 0.136, 0.364, 0.176, 0.324
22, 0.134, 0.366, 0.175, 0.325
23, 0.13, 0.37, 0.17, 0.33
24, 0.125, 0.375, 0.164, 0.336
25, 0.121, 0.379, 0.159, 0.341
26, 0.0936, 0.356, 0.152, 0.398
27, 0.0909, 0.359, 0.146, 0.404
28, 0.0875, 0.362, 0.14, 0.41
29, 0.0851, 0.365, 0.136, 0.414
30, 0.082, 0.368, 0.132, 0.418
31, 0.08, 0.37, 0.128, 0.422
32, 0.0771, 0.373, 0.123, 0.427
33, 0.0751, 0.375, 0.121, 0.429
34, 0.0731, 0.377, 0.117, 0.433
35, 0.0712, 0.379, 0.114, 0.436
36, 0.0687, 0.381, 0.111, 0.439
37, 0.0669, 0.383, 0.109, 0.441
38, 0.05, 0.35, 0.102, 0.498
39, 0.049, 0.351, 0.0995, 0.501
40, 0.0476, 0.352, 0.0965, 0.503
41, 0.046, 0.354, 0.0946, 0.505
42, 0.045, 0.355, 0.0933, 0.507
43, 0.0441, 0.356, 0.0911, 0.509
44, 0.0433, 0.357, 0.0886, 0.511
45, 0.0419, 0.358, 0.086, 0.514
46, 0.0411, 0.359, 0.0831, 0.517
47, 0.0398, 0.36, 0.0803, 0.52
48, 0.0387, 0.361, 0.0785, 0.522
49, 0.0375, 0.363, 0.0763, 0.524
50, 0.0365, 0.363, 0.0746, 0.525
51, 0.0354, 0.365, 0.073, 0.527
52, 0.0343, 0.366, 0.0711, 0.529
53, 0.0333, 0.367, 0.0697, 0.53
54, 0.0325, 0.367, 0.0675, 0.533
55, 0.032, 0.368, 0.0654, 0.535
56, 0.031, 0.369, 0.0638, 0.536
57, 0.0301, 0.37, 0.0626, 0.537
58, 0.0292, 0.371, 0.0607, 0.539
59, 0.0284, 0.372, 0.0596, 0.54
60, 0.0276, 0.372, 0.0582, 0.542
61, 0.0271, 0.373, 0.0578, 0.542
62, 0.0263, 0.374, 0.0565, 0.543
63, 0.0256, 0.374, 0.0556, 0.544
64, 0.0248, 0.375, 0.0544, 0.546
65, 0.0242, 0.376, 0.0533, 0.547
66, 0.0235, 0.376, 0.0517, 0.548
67, 0.023, 0.377, 0.0505, 0.549
68, 0.0224, 0.378, 0.0494, 0.551
69, 0.0218, 0.378, 0.048, 0.552
70, 0.0212, 0.379, 0.047, 0.553
71, 0.0208, 0.379, 0.0462, 0.554
72, 0.0203, 0.38, 0.0449, 0.555
73, 0.0197, 0.38, 0.0437, 0.556
74, 0.0971, 0.403, 0.106, 0.394
75, 0.0951, 0.405, 0.105, 0.395
76, 0.0931, 0.407, 0.104, 0.396
77, 0.0744, 0.376, 0.11, 0.44
78, 0.0725, 0.377, 0.108, 0.442
79, 0.0711, 0.379, 0.105, 0.445
80, 0.0693, 0.381, 0.103, 0.447
81, 0.068, 0.382, 0.101, 0.449
82, 0.0672, 0.383, 0.0985, 0.452
83, 0.0656, 0.384, 0.0963, 0.454
84, 0.0642, 0.386, 0.0937, 0.456
85, 0.0628, 0.387, 0.0917, 0.458
86, 0.0617, 0.388, 0.0902, 0.46
87, 0.0603, 0.39, 0.089, 0.461
88, 0.0595, 0.39, 0.0877, 0.462
89, 0.058, 0.392, 0.0862, 0.464
90, 0.0566, 0.393, 0.0856, 0.464
91, 0.0552, 0.395, 0.084, 0.466
92, 0.0541, 0.396, 0.0823, 0.468
93, 0.0529, 0.397, 0.0801, 0.47
94, 0.0516, 0.398, 0.0789, 0.471
95, 0.0507, 0.399, 0.0768, 0.473
96, 0.0496, 0.4, 0.0756, 0.474
97, 0.0484, 0.402, 0.0749, 0.475
98, 0.0472, 0.403, 0.0735, 0.477
99, 0.0464, 0.404, 0.0725, 0.478
100, 0.0453, 0.405, 0.0721, 0.478
101, 0.0443, 0.406, 0.0704, 0.48
102, 0.0436, 0.406, 0.0688, 0.481
103, 0.0427, 0.407, 0.067, 0.483
104, 0.0416, 0.408, 0.0664, 0.484
105, 0.0408, 0.409, 0.0664, 0.484
106, 0.0398, 0.41, 0.0649, 0.485
107, 0.0388, 0.411, 0.0632, 0.487
108, 0.0379, 0.412, 0.0615, 0.488
109, 0.037, 0.413, 0.0603, 0.49
110, 0.0364, 0.414, 0.0599, 0.49
111, 0.0356, 0.414, 0.059, 0.491
112, 0.0349, 0.415, 0.0581, 0.492
113, 0.0342, 0.416, 0.0566, 0.493
114, 0.0334, 0.417, 0.0552, 0.495
115, 0.0326, 0.417, 0.0551, 0.495
116, 0.0319, 0.418, 0.0537, 0.496
117, 0.0311, 0.419, 0.0527, 0.497
118, 0.0304, 0.42, 0.0517, 0.498
119, 0.0298, 0.42, 0.0504, 0.5
