-nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
0.7144, 1, 0.6572, 0.8572, 0.8572, 0.8572, 0.7144, 0.8572, 0.7858, 1, 0.8572, 1, 0.8572, 1, 0.8572, 1, 0.7144, 0.7858, 1, 0.8572
1, 1, 0.5715, 0.8572, 0.8572, 0.8572, 0.3879, 0.8572, 0.7858, 1, 0.8572, 1, 0.8572, 1, 0.8572, 1, 1, 1, 1, 0.8572
1, 1, 0.8572, 0.8572, 0.8572, 0.8572, 0.6572, 0.8572, 0.6328, 1, 0.8572, 1, 0.8572, 1, 0.8572, 1, 1, 0.4287, 1, 0.8572
0.7858, 1, 0.6572, 0.8572, 0.8572, 0.8572, 0.7144, 0.8572, 1, 1, 0.8572, 0.7858, 0.8572, 1, 0.8572, 1, 1, 0.5715, 1, 0.8572
0.8572, 1, 0.7858, 0.8572, 0.8572, 0.8572, 0.4858, 0.8572, 1, 1, 0.8572, 0.4287, 0.8572, 1, 0.8572, 1, 1, 0.5715, 1, 0.8572
1, 1, 0.7144, 0.8572, 0.8572, 0.8572, 0.7144, 0.4287, 1, 1, 0.8572, 0.4287, 0.0001, 0.143, 0.8572, 1, 0.5715, 0.7858, 1, 0.8572
1, 0.5715, 0.7144, 0.8572, 0.8572, 0.8572, 1, 0.8572, 0.7858, 1, 0.8572, 0.3572, 0.8572, 1, 0.8572, 1, 0.7144, 0.7144, 1, 0.8572
1, 1, 0.7858, 0.8572, 0.8572, 0.8572, 0.6572, 0.8572, 0.6328, 1, 0.8572, 1, 0.8572, 1, 0.8572, 1, 0.7144, 0.8287, 1, 0.8572
1, 0.143, 0.8287, 0.8572, 0.8572, 0.8572, 0.7144, 0.8572, 0.6572, 1, 0.8572, 1, 0.8572, 1, 0.8572, 1, 0.4287, 0.5715, 1, 0.8572
1, 1, 1, 0.8572, 0.8572, 0.8572, 0.4287, 0.8572, 0.7144, 1, 0.8572, 1, 0.8572, 1, 0.8572, 1, 1, 0.5715, 1, 0.8572
0.7858, 1, 0.6572, 0.8572, 0.8572, 0.8572, 0.7858, 0.8572, 0.7144, 1, 0.8572, 0.7858, 0.8572, 1, 0.8572, 1, 1, 0.7144, 1, 0.8572
1, 1, 0.8572, 0.8572, 0.8572, 0.8572, 0.5103, 0.8572, 1, 1, 0.8572, 1, 0.8572, 1, 0.8572, 1, 0.7144, 0.4287, 1, 0.8572
1, 0.5715, 1, 0.8572, 0.8572, 0.8572, 0.4858, 0.8572, 1, 1, 0.8572, 0.5715, 0.8572, 1, 0.8572, 1, 0.4287, 1, 1, 0.8572
1, 1, 0.6572, 0.8572, 0.8572, 0.8572, 0.4858, 0.8572, 0.8572, 1, 0.8572, 1, 0.8572, 1, 0.8572, 1, 0.4287, 1, 1, 0.8572
1, 1, 0.7144, 0.8572, 0.8572, 0.8572, 0.5103, 0.8572, 0.8287, 1, 0.8572, 1, 0.8572, 1, 0.8572, 1, 0.5715, 1, 1, 0.8572
0.8287, 1, 0.8287, 0.8572, 0.8572, 0.8572, 0.3572, 0.8572, 1, 1, 0.8572, 0.4287, 0.8572, 1, 0.8572, 1, 0.5715, 1, 1, 0.8572
0.5715, 1, 0.7144, 0.8572, 0.8572, 0.8572, 0.7144, 0.8572, 1, 1, 0.8572, 0.6328, 0.8572, 1, 0.8572, 1, 0.5715, 0.8572, 1, 0.8572
1, 1, 0.6572, 0.8572, 0.8572, 0.8572, 0.6572, 0.8572, 1, 1, 0.8572, 0.6572, 0.8572, 1, 0.8572, 1, 0.6572, 1, 1, 0.8572
1, 1, 0.7144, 0.8572, 0.8572, 0.8572, 0.3572, 0.8572, 1, 1, 0.8572, 1, 0.8572, 1, 0.8572, 1, 0.5715, 1, 1, 0.8572
1, 1, 0.6328, 0.8572, 0.8572, 0.8572, 0.5715, 0.8572, 0.7144, 1, 0.8572, 0.7144, 0.8572, 1, 0.8572, 1, 1, 1, 1, 0.8572
0.7858, 1, 0.5715, 0.8572, 0.8572, 0.8572, 0.3572, 0.8572, 0.7858, 1, 0.8572, 0.5715, 0.8572, 1, 0.8572, 1, 1, 0.8287, 1, 0.8572
0.5715, 1, 0.6572, 0.8572, 0.8572, 0.8572, 0.5715, 0.8572, 1, 1, 0.8572, 1, 0.8572, 1, 0.8572, 1, 1, 0.6572, 1, 0.8572
1, 1, 0.8287, 0.8572, 0.8572, 0.8572, 0.4858, 0.8572, 0.6572, 1, 0.8572, 0.5715, 0.8572, 1, 0.8572, 1, 1, 1, 1, 0.8572
1, 1, 0.7144, 0.8572, 0.8572, 0.8572, 0.4858, 0.8572, 0.5715, 1, 0.8572, 1, 0.8572, 1, 0.8572, 1, 0.5715, 1, 1, 0.8572
1, 1, 0.8287, 0.8572, 0.8572, 1, 0.6328, 0.8572, 0.7144, 1, 0.8572, 0.7858, 0.8572, 1, 0.8572, 1, 1, 0.7858, 1, 0.8572
1, 1, 0.7144, 0.8572, 0.8572, 1, 0.4287, 0.8572, 0.8287, 1, 0.8572, 0.7552, 0.8572, 1, 0.8572, 1, 1, 1, 1, 0.8572
1, 1, 0.4858, 0.8572, 0.8572, 1, 0.7144, 0.8572, 0.8572, 1, 0.8572, 1, 0.8572, 1, 0.8572, 1, 1, 1, 0.5715, 0.8572
1, 1, 0.6787, 0.8572, 0.8572, 1, 0.4858, 0.8572, 1, 1, 0.8572, 1, 0.8572, 1, 0.8572, 1, 1, 0.8287, 1, 0.8572
1, 1, 0.6191, 0.8572, 0.8572, 1, 0.5715, 0.8572, 1, 1, 0.8572, 0.7144, 0.8572, 1, 0.8572, 1, 1, 0.8287, 1, 0.8572
1, 1, 0.7858, 0.8572, 0.8572, 1, 0.5715, 0.8572, 0.7144, 1, 0.8572, 0.7552, 0.8572, 1, 0.8572, 1, 1, 0.7144, 1, 0.8572
1, 1, 0.7144, 0.8572, 0.8572, 1, 0.4287, 0.8572, 0.8287, 1, 0.8572, 0.6572, 0.8572, 1, 0.8572, 1, 1, 1, 1, 0.8572
0.7858, 0.5715, 1, 0.8572, 0.8572, 1, 1, 0.8572, 0.7144, 1, 0.8572, 0.8572, 0.8572, 1, 0.8572, 1, 0.3572, 1, 1, 0.8572
0.7858, 1, 0.6572, 0.8572, 0.8572, 1, 0.5715, 0.8572, 0.7858, 1, 0.8572, 1, 0.8572, 1, 0.8572, 1, 1, 0.7858, 1, 0.8572
1, 1, 1, 0.8572, 0.8572, 1, 0.7144, 0.8572, 0.7858, 1, 0.8572, 0.6572, 0.8572, 1, 0.8572, 1, 0.5715, 1, 1, 0.8572
1, 1, 0.7858, 0.0001, 0.4287, 1, 1, 0.8572, 0.7858, 1, 0.8572, 0.8572, 0.8572, 1, 0.8572, 1, 0.5715, 0.7144, 1, 0.8572
1, 0.5715, 0.5715, 0.8572, 0.8572, 1, 0.5715, 0.8572, 0.7144, 1, 0.8572, 0.8287, 0.8572, 1, 0.8572, 1, 0.7144, 0.7858, 1, 0.8572
1, 0.5715, 0.6328, 0.8572, 0.8572, 1, 0.4287, 0.8572, 0.7144, 1, 0.8572, 1, 0.8572, 1, 0.8572, 1, 1, 1, 1, 0.8572
1, 1, 0.5715, 0.8572, 0.8572, 1, 0.6328, 0.8572, 1, 1, 0.8572, 0.8572, 0.8572, 1, 0.8572, 1, 0.7144, 1, 1, 0.8572
1, 1, 0.5715, 0.8572, 0.8572, 1, 0.7858, 0.8572, 0.7144, 1, 0.8572, 1, 0.8572, 1, 0.8572, 1, 0.7144, 0.7144, 1, 0.8572
0.7144, 1, 0.8287, 0.8572, 0.8572, 1, 0.5715, 0.8572, 0.7858, 1, 0.8572, 0.6572, 0.8572, 1, 0.8572, 1, 1, 0.8572, 1, 0.8572
1, 1, 0.6328, 0.8572, 0.8572, 1, 1, 0.8572, 1, 1, 0.8572, 0.6572, 0.8572, 1, 0.8572, 1, 0.7144, 0.8287, 1, 0.8572
0.8287, 1, 0.8287, 0.8572, 0.8572, 1, 0.7144, 0.8572, 1, 1, 0.8572, 0.7144, 0.8572, 0.5715, 0.8572, 1, 0.5715, 1, 1, 0.8572
1, 1, 0.4858, 0.8572, 0.8572, 1, 0.5715, 0.8572, 0.7858, 1, 0.8572, 1, 0.8572, 1, 0.8572, 1, 1, 0.8572, 1, 0.8572
1, 1, 0.7858, 0.8572, 0.8572, 1, 0.4858, 0.8572, 1, 1, 0.8572, 0.8287, 0.8572, 1, 0.8572, 1, 0.5715, 1, 1, 0.8572
0.5715, 1, 0.6572, 0.8572, 0.8572, 1, 0.6328, 0.8572, 0.7144, 1, 0.8572, 1, 0.8572, 1, 0.8572, 1, 1, 1, 1, 0.8572
0.8287, 1, 1, 0.8572, 0.8572, 1, 0.5715, 0.8572, 0.7858, 1, 0.4287, 0.8287, 0.8572, 1, 0.8572, 1, 1, 0.6572, 1, 0.0001
1, 0.5715, 0.8287, 0.8572, 0.8572, 1, 0.5715, 0.8572, 0.7144, 1, 0.8572, 0.7858, 0.8572, 1, 0.8572, 1, 1, 1, 1, 0.8572
1, 1, 0.7858, 0.8572, 0.8572, 1, 1, 0.8572, 1, 1, 0.8572, 0.7144, 0.8572, 1, 0.8572, 1, 0.4287, 1, 0.5715, 0.8572
1, 1, 1, 0.8572, 0.8572, 1, 0.7144, 0.5715, 0.8572, 1, 0.8572, 0.6328, 0.8572, 1, 0.8572, 1, 1, 1, 1, 0.8572
0.5715, 1, 0.6572, 0.8572, 0.8572, 1, 0.5715, 1, 1, 1, 0.8572, 0.8777, 0.8572, 1, 0.8572, 1, 1, 1, 1, 0.8572
0.8287, 1, 0.5715, 0.8572, 0.8572, 1, 0.7144, 1, 0.7552, 1, 0.8572, 1, 0.8572, 1, 0.8572, 1, 1, 1, 1, 0.8572
1, 1, 0.7858, 0.8572, 0.8572, 1, 0.7144, 1, 0.7144, 1, 0.8572, 0.7144, 0.8572, 1, 0.8572, 1, 1, 1, 1, 0.8572
1, 1, 0.8287, 0.8572, 0.8572, 1, 0.7144, 1, 1, 1, 0.8572, 0.6572, 0.8572, 1, 0.8572, 1, 0.7858, 0.8572, 1, 0.8572
1, 1, 0.7144, 0.8572, 0.8572, 1, 0.4858, 1, 1, 1, 0.8572, 0.7144, 0.8572, 1, 0.8572, 1, 1, 1, 1, 0.8572
1, 1, 0.7858, 0.8572, 0.8572, 1, 0.5715, 1, 0.5715, 1, 0.8572, 0.6572, 0.8572, 1, 0.8572, 1, 1, 1, 1, 0.8572
1, 1, 0.7144, 0.8572, 0.8572, 1, 0.7144, 1, 1, 1, 0.8572, 0.5715, 0.8572, 0.5715, 0.8572, 1, 1, 1, 1, 0.8572
0.7144, 1, 0.7858, 0.8572, 0.8572, 1, 1, 1, 0.8287, 1, 0.8572, 0.7552, 0.8572, 0.5715, 0.8572, 1, 1, 1, 1, 0.8572
0.7144, 0.143, 1, 0.8572, 0.8572, 1, 0.8287, 1, 0.7858, 1, 0.8572, 0.5715, 0.8572, 0.5715, 0.8572, 1, 1, 1, 1, 0.8572
1, 1, 0.6572, 0.8572, 0.8572, 1, 0.8287, 1, 0.5715, 1, 0.8572, 1, 0.8572, 1, 0.8572, 1, 1, 0.7858, 1, 0.8572
1, 1, 0.7144, 0.8572, 0.8572, 1, 0.5715, 1, 0.7858, 1, 0.8572, 0.6572, 0.8572, 1, 0.8572, 1, 1, 0.7858, 1, 0.8572
1, 1, 0.6328, 0.8572, 0.8572, 1, 0.7144, 1, 1, 1, 0.8572, 0.7552, 0.8572, 1, 0.8572, 1, 1, 1, 1, 0.8572
1, 1, 0.7552, 0.8572, 0.8572, 1, 0.4287, 1, 1, 1, 0.8572, 0.7858, 0.8572, 1, 0.8572, 1, 1, 0.8572, 1, 0.8572
0.5715, 1, 0.7144, 0.8572, 0.8572, 1, 0.5715, 1, 0.7858, 1, 0.8572, 1, 0.8572, 1, 0.8572, 1, 1, 1, 1, 0.8572
1, 1, 0.6328, 0.8572, 0.8572, 1, 0.5715, 1, 1, 1, 0.8572, 0.7552, 0.8572, 1, 0.8572, 1, 1, 1, 1, 0.8572
1, 1, 0.7144, 0.8572, 0.8572, 1, 0.7858, 1, 0.7144, 1, 0.8572, 1, 0.8572, 1, 0.8572, 1, 1, 0.8287, 1, 0.8572
0.7858, 1, 0.7144, 0.8572, 0.8572, 1, 0.7858, 1, 0.8287, 1, 0.8572, 1, 0.8572, 1, 0.8572, 1, 0.7858, 0.8287, 1, 0.8572
0.7144, 1, 0.7858, 0.8572, 0.8572, 1, 1, 1, 0.7858, 1, 0.8572, 0.7144, 0.8572, 1, 0.8572, 1, 1, 0.8287, 1, 0.8572
1, 1, 0.8287, 0.8572, 0.8572, 1, 0.4287, 1, 1, 1, 0.8572, 1, 0.8572, 1, 0.8572, 1, 0.7144, 1, 1, 0.8572
1, 1, 0.6787, 0.8572, 0.8572, 1, 1, 1, 0.7144, 1, 0.8572, 1, 0.8572, 1, 0.8572, 0.5715, 0.7144, 1, 1, 0.8572
1, 1, 0.5715, 0.8572, 0.8572, 1, 0.5715, 1, 1, 1, 0.8572, 1, 0.8572, 1, 0.8572, 1, 1, 0.7858, 1, 0.8572
1, 1, 1, 0.8572, 0.8572, 1, 0.5715, 1, 1, 1, 0.8572, 0.4858, 0.8572, 1, 0.8572, 1, 1, 1, 1, 0.8572
1, 1, 0.7144, 0.8572, 0.8572, 1, 0.5715, 1, 0.8287, 1, 0.8572, 1, 0.8572, 1, 0.8572, 1, 0.7144, 0.8287, 1, 0.8572
1, 1, 0.7552, 0.8572, 0.8572, 1, 0.7144, 1, 0.7552, 1, 0.8572, 0.8287, 0.8572, 1, 0.8572, 1, 1, 1, 1, 0.8572
1, 1, 0.7858, 0.8572, 0.8572, 1, 0.7858, 1, 0.7144, 1, 0.8572, 0.7144, 0.8572, 1, 0.8572, 1, 0.7858, 1, 1, 0.8572
0.8777, 1, 0.5715, 0.8572, 0.8572, 1, 0.7858, 1, 1, 1, 0.8572, 0.5715, 0.8572, 1, 0.8572, 1, 1, 1, 1, 0.8572
1, 1, 0.5715, 0.8572, 0.8572, 1, 0.7552, 1, 1, 1, 0.8572, 0.7858, 0.8572, 1, 0.8572, 1, 1, 1, 1, 0.8572
1, 1, 0.7144, 0.8572, 0.8572, 1, 0.7144, 1, 0.8777, 1, 0.8572, 0.4858, 0.8572, 1, 0.8572, 1, 1, 1, 1, 0.8572
1, 1, 1, 0.8572, 0.8572, 1, 0.5715, 1, 0.7552, 1, 0.8572, 0.6572, 0.8572, 1, 0.8572, 1, 0.7144, 1, 1, 0.8572
1, 1, 0.5715, 0.8572, 0.8572, 1, 0.4858, 1, 1, 1, 0.8572, 0.7552, 0.8572, 1, 0.8572, 1, 1, 1, 1, 0.8572
1, 1, 0.743, 0.8572, 0.8572, 1, 1, 1, 0.5715, 1, 0.8572, 0.6572, 0.8572, 1, 0.8572, 1, 1, 1, 1, 0.8572
1, 1, 0.8572, 0.8572, 0.8572, 1, 0.7144, 1, 0.6572, 1, 0.8572, 0.4287, 0.8572, 1, 0.8572, 1, 1, 1, 1, 0.8572
0.7858, 1, 0.8287, 0.8572, 0.8572, 1, 1, 1, 0.7858, 1, 0.8572, 0.7144, 0.8572, 1, 0.8572, 1, 1, 0.7858, 1, 0.8572
1, 1, 0.8572, 0.8572, 0.8572, 1, 0.7858, 1, 0.8572, 1, 0.8572, 0.5715, 0.8572, 1, 0.8572, 1, 1, 1, 0.7144, 0.8572
1, 1, 0.7144, 0.8572, 0.8572, 1, 0.5715, 1, 1, 1, 0.8572, 0.7858, 0.8572, 1, 0.8572, 1, 0.7144, 0.7858, 1, 0.8572
1, 1, 0.7144, 0.8572, 0.8572, 1, 1, 1, 0.7858, 1, 0.8572, 1, 0.8572, 1, 0.8572, 1, 0.5715, 0.8572, 1, 0.8572
1, 1, 0.6572, 0.8572, 0.8572, 1, 0.7144, 1, 0.8287, 1, 0.8572, 0.6572, 0.8572, 1, 0.8572, 1, 1, 1, 1, 0.8572
0.7858, 1, 0.6572, 0.8572, 0.8572, 1, 0.7144, 1, 1, 1, 0.8572, 0.7144, 0.8572, 1, 0.8572, 1, 1, 1, 1, 0.8572
1, 1, 0.8572, 0.8572, 0.8572, 1, 0.6572, 1, 1, 1, 0.8572, 0.4858, 0.8572, 1, 0.8572, 1, 1, 1, 1, 0.8572
1, 1, 0.8287, 0.8572, 0.8572, 1, 0.5715, 1, 0.7144, 1, 0.8572, 1, 0.8572, 1, 0.8572, 1, 0.7858, 1, 1, 0.8572
0.7144, 1, 0.6787, 0.8572, 0.8572, 1, 0.8777, 1, 1, 1, 0.8572, 0.7144, 0.8572, 1, 0.8572, 1, 1, 1, 1, 0.8572
1, 1, 0.7144, 0.8572, 0.8572, 1, 1, 1, 0.7858, 1, 0.8572, 0.6572, 0.8572, 1, 0.8572, 1, 0.8287, 1, 1, 0.8572
1, 1, 0.7144, 0.8572, 0.8572, 1, 0.5715, 1, 0.7552, 1, 0.8572, 1, 0.8572, 1, 0.8572, 1, 1, 1, 1, 0.8572
1, 1, 0.5715, 0.8572, 0.8572, 1, 0.5715, 1, 0.7858, 1, 0.8572, 0.8777, 0.8572, 1, 0.8572, 1, 1, 1, 1, 0.8572
0.5715, 1, 1, 0.8572, 0.8572, 1, 0.5715, 1, 0.7144, 1, 0.8572, 0.8287, 0.8572, 1, 0.8572, 1, 1, 1, 1, 0.8572
0.7144, 1, 0.7144, 0.8572, 0.8572, 1, 0.5715, 1, 0.7858, 1, 0.8572, 0.8287, 0.8572, 1, 0.8572, 1, 1, 1, 1, 0.8572
0.7144, 1, 0.7144, 0.8572, 0.8572, 1, 0.4858, 1, 0.8287, 1, 0.8572, 0.8572, 0.8572, 1, 0.8572, 1, 1, 1, 1, 0.8572
1, 0.5715, 0.7858, 0.8572, 0.8572, 1, 0.6572, 1, 1, 1, 0.8572, 0.7858, 0.8572, 1, 0.8572, 1, 1, 0.7858, 1, 0.8572
1, 0.5715, 0.8287, 0.8572, 0.8572, 1, 0.7144, 1, 0.5715, 1, 0.8572, 0.7144, 0.8572, 1, 0.8572, 1, 1, 1, 1, 0.8572
1, 0.5715, 0.8287, 0.8572, 0.8572, 1, 0.7144, 1, 1, 1, 0.8572, 0.5715, 1, 1, 0.8572, 1, 1, 1, 1, 0.8572
1, 1, 0.6572, 0.8572, 0.8572, 1, 0.4858, 1, 1, 1, 0.8572, 1, 1, 1, 0.8572, 1, 1, 1, 1, 0.8572
1, 1, 0.7552, 0.8572, 0.8572, 1, 0.7858, 1, 1, 1, 0.8572, 0.5715, 1, 1, 0.8572, 1, 1, 1, 1, 0.8572
1, 1, 0.7144, 0.8572, 0.8572, 1, 1, 1, 0.7552, 1, 0.8572, 1, 1, 1, 0.8572, 1, 1, 0.8287, 1, 0.8572
1, 1, 0.6328, 0.8572, 0.8572, 1, 1, 1, 0.7144, 1, 0.8572, 0.7144, 1, 1, 0.8572, 1, 1, 1, 1, 0.8572
1, 1, 0.8572, 0.8572, 0.8572, 1, 0.8572, 1, 1, 1, 0.8572, 0.5715, 1, 1, 0.8572, 1, 1, 1, 1, 0.8572
1, 0.5715, 0.8287, 0.8572, 0.8572, 1, 0.6572, 1, 0.7144, 1, 0.8572, 1, 1, 1, 0.8572, 1, 1, 1, 1, 0.8572
1, 1, 0.7552, 0.8572, 0.8572, 1, 1, 1, 0.7144, 1, 0.8572, 0.7858, 1, 1, 0.8572, 1, 1, 0.7144, 1, 0.8572
1, 1, 1, 0.8572, 0.8572, 1, 0.5715, 1, 1, 1, 0.8572, 0.7144, 1, 1, 0.8572, 1, 1, 1, 1, 0.8572
1, 1, 0.8572, 0.8572, 0.8572, 1, 0.8287, 1, 1, 1, 0.8572, 0.7858, 0.5715, 1, 0.8572, 0.5715, 1, 1, 1, 0.8572
1, 1, 0.7858, 0.8572, 0.8572, 1, 0.8287, 1, 1, 1, 0.8572, 0.7144, 1, 1, 0.8572, 1, 1, 0.7858, 1, 0.8572
1, 1, 0.7552, 0.8572, 0.8572, 1, 0.7144, 1, 0.7858, 1, 0.8572, 1, 1, 1, 0.8572, 1, 1, 1, 1, 0.8572
1, 1, 0.8287, 0.8572, 0.8572, 1, 0.7858, 1, 0.7858, 1, 0.8572, 1, 1, 1, 0.8572, 1, 1, 0.7858, 1, 0.8572
1, 1, 1, 0.8572, 0.8572, 1, 0.7858, 1, 0.4858, 1, 0.8572, 1, 0.5715, 1, 0.8572, 1, 1, 1, 1, 0.8572
1, 1, 1, 0.8572, 0.8572, 1, 0.6328, 1, 1, 1, 0.8572, 0.6572, 1, 1, 0.8572, 1, 1, 1, 1, 0.8572
1, 0.5715, 0.6572, 0.8572, 0.8572, 1, 1, 1, 0.8287, 1, 0.8572, 0.7144, 1, 1, 0.8572, 1, 1, 1, 1, 0.8572
1, 1, 0.8572, 0.0001, 0.8572, 1, 0.7144, 1, 1, 1, 0.4287, 1, 1, 1, 0.8572, 1, 1, 0.8572, 1, 0.8572
1, 1, 0.7144, 0.8572, 0.8572, 1, 1, 1, 1, 1, 1, 0.6572, 1, 1, 0.8572, 1, 1, 1, 1, 0.8572
1, 1, 0.8287, 0.8572, 0.8572, 1, 0.5715, 1, 0.5715, 1, 1, 1, 1, 1, 0.8572, 1, 1, 1, 1, 0.8572
1, 1, 0.7144, 0.8572, 0.8572, 1, 1, 1, 0.7858, 1, 1, 1, 1, 1, 0.8572, 1, 1, 1, 1, 0.8572
1, 1, 0.7858, 0.8572, 0.8572, 1, 1, 1, 1, 1, 1, 0.7144, 1, 1, 0.8572, 1, 1, 1, 1, 0.8572
1, 1, 0.8287, 0.8572, 0.8572, 1, 0.7144, 1, 1, 1, 1, 0.8572, 1, 1, 0.8572, 1, 1, 1, 1, 0.8572
1, 1, 0.8287, 0.8572, 0.8572, 1, 0.6572, 1, 1, 1, 1, 0.8572, 1, 1, 0.8572, 1, 1, 1, 1, 0.8572
1, 1, 0.7858, 0.8572, 0.8572, 1, 0.8572, 1, 1, 1, 1, 0.5715, 1, 1, 0.8572, 1, 1, 1, 1, 0.8572
1, 1, 0.6787, 0.8572, 0.8572, 1, 1, 1, 1, 1, 1, 0.893, 1, 1, 0.8572, 1, 1, 1, 1, 0.8572
1, 1, 0.6572, 0.8572, 0.8572, 1, 0.7858, 1, 1, 1, 1, 1, 1, 1, 0.8572, 1, 1, 1, 1, 0.8572
1, 1, 0.8287, 0.8572, 0.8572, 1, 0.8287, 1, 0.8572, 1, 1, 0.7144, 1, 1, 0.8572, 1, 1, 1, 1, 0.8572
1, 0.5715, 1, 0.8572, 0.8572, 1, 0.8287, 1, 0.8287, 1, 1, 0.8287, 1, 1, 0.8572, 1, 1, 1, 1, 0.8572
1, 0.5715, 0.8777, 0.8572, 0.8572, 1, 1, 1, 1, 1, 1, 0.8572, 1, 1, 0.8572, 1, 1, 1, 0.5715, 0.8572
1, 1, 0.7144, 0.8572, 0.8572, 1, 0.7144, 1, 1, 1, 1, 1, 1, 1, 0.8572, 1, 1, 1, 1, 0.8572
1, 1, 0.7552, 0.8572, 0.8572, 1, 1, 1, 0.7858, 1, 1, 0.7858, 1, 1, 0.8572, 1, 1, 1, 1, 0.8572
1, 1, 0.8287, 0.8572, 0.8572, 1, 0.7144, 1, 1, 1, 1, 0.8287, 1, 1, 0.8572, 1, 1, 1, 1, 0.8572
1, 1, 0.7144, 0.8572, 0.8572, 1, 1, 1, 0.7858, 1, 1, 0.8572, 1, 1, 0.8572, 1, 1, 1, 0.7144, 0.8572
1, 1, 0.8287, 0.8572, 0.8572, 1, 0.6572, 1, 1, 1, 1, 0.8287, 1, 1, 0.8572, 1, 1, 1, 1, 0.8572
1, 1, 0.7552, 0.8572, 0.8572, 1, 1, 1, 1, 1, 1, 0.7144, 1, 1, 0.8572, 1, 1, 1, 1, 0.8572
1, 0.5715, 0.8777, 0.8572, 0.8572, 1, 1, 1, 1, 1, 1, 0.6572, 1, 1, 0.8572, 1, 1, 1, 1, 0.8572
1, 1, 0.7144, 0.8572, 0.8572, 1, 0.7858, 1, 1, 1, 1, 0.8287, 1, 1, 0.8572, 1, 1, 1, 1, 0.8572
1, 1, 0.7144, 0.8572, 0.8572, 1, 0.7858, 1, 1, 1, 1, 0.7858, 1, 1, 0.8572, 1, 1, 1, 1, 0.8572
1, 0.5715, 0.7144, 0.8572, 0.8572, 1, 0.8572, 1, 1, 1, 1, 1, 1, 1, 0.8572, 1, 1, 1, 0.5715, 0.8572
1, 1, 0.7858, 0.8572, 0.8572, 1, 0.8287, 1, 0.8287, 1, 1, 1, 1, 1, 0.8572, 1, 1, 0.8572, 1, 0.8572
1, 1, 0.8287, 0.8572, 0.8572, 1, 0.7144, 1, 1, 1, 1, 0.7858, 1, 1, 0.8572, 1, 1, 1, 0.5715, 0.8572
1, 1, 1, 0.8572, 0.8572, 1, 0.7144, 1, 0.7858, 1, 1, 0.7858, 1, 1, 0.8572, 1, 1, 0.8287, 1, 0.8572
1, 1, 0.8572, 0.8572, 0.8572, 1, 0.7144, 1, 1, 1, 1, 0.7858, 1, 1, 0.8572, 1, 1, 1, 1, 0.8572
1, 1, 0.7858, 0.8572, 0.8572, 1, 0.7552, 1, 0.7858, 1, 1, 1, 1, 1, 0.8572, 1, 1, 1, 1, 0.8572
1, 1, 0.5715, 0.8572, 0.8572, 1, 1, 1, 1, 1, 1, 0.8287, 1, 1, 0.8572, 1, 0.7858, 1, 1, 0.8572
1, 1, 1, 0.8572, 0.8572, 1, 0.8287, 1, 0.8777, 1, 1, 0.6572, 1, 1, 0.8572, 1, 1, 1, 1, 0.8572
1, 1, 0.8572, 0.8572, 0.8572, 1, 0.7144, 1, 0.8572, 1, 1, 0.8287, 1, 1, 0.8572, 1, 1, 1, 1, 0.8572
1, 1, 0.4858, 0.8572, 0.8572, 1, 1, 1, 1, 1, 1, 0.8287, 1, 1, 0.8572, 1, 1, 1, 1, 0.8572
1, 1, 0.7144, 0.8572, 0.8572, 1, 1, 1, 1, 1, 1, 0.5715, 1, 1, 0.8572, 1, 1, 1, 1, 0.8572
1, 1, 0.8287, 0.8572, 0.8572, 1, 0.7144, 1, 1, 1, 1, 0.7858, 1, 1, 0.8572, 1, 1, 1, 1, 0.8572
1, 1, 0.8287, 0.8572, 0.8572, 1, 0.7552, 1, 1, 1, 1, 0.8287, 1, 1, 0.8572, 1, 1, 1, 1, 0.8572
1, 1, 0.6787, 0.8572, 0.8572, 1, 1, 1, 1, 1, 1, 0.8287, 1, 1, 0.8572, 1, 1, 1, 1, 0.8572
1, 1, 1, 0.8572, 0.8572, 1, 0.6572, 1, 0.8287, 1, 1, 0.8287, 1, 1, 0.8572, 1, 1, 1, 1, 0.8572
1, 1, 0.8287, 0.8572, 0.8572, 1, 0.8572, 1, 1, 1, 1, 0.5715, 1, 1, 0.8572, 1, 1, 1, 1, 0.8572
1, 0.5715, 0.7144, 0.8572, 0.8572, 1, 1, 1, 1, 1, 1, 0.7144, 1, 1, 0.8572, 1, 1, 1, 1, 0.8572
1, 1, 0.5715, 0.8572, 0.8572, 1, 1, 1, 1, 1, 1, 0.7144, 1, 1, 0.8572, 1, 1, 1, 1, 0.8572
1, 1, 0.7858, 0.8572, 0.8572, 1, 0.7858, 1, 1, 1, 1, 0.7144, 1, 1, 0.8572, 1, 1, 1, 1, 0.8572
1, 1, 0.7552, 0.8572, 0.8572, 1, 0.7858, 1, 0.7858, 0.143, 1, 1, 1, 1, 0.8572, 1, 1, 1, 1, 0.8572
1, 1, 0.7858, 0.8572, 0.8572, 1, 0.6572, 0.143, 1, 1, 1, 0.8287, 1, 1, 0.8572, 1, 1, 1, 1, 0.8572
1, 1, 0.7858, 0.8572, 0.8572, 1, 0.8287, 1, 0.6572, 1, 1, 0.7858, 1, 1, 0.8572, 1, 1, 1, 1, 0.8572
